transaction_id,item,payment_method,location,transaction_date,quantity,price_per_unit,total_spent,item_Cake,item_Coffee,item_Cookie,item_Juice,item_Salad,item_Sandwich,item_Smoothie,item_Tea,payment_Cash,payment_Credit Card,payment_Digital Wallet,location_In-store,location_Takeaway,calculated_total,month,weekday
TXN_5137315,Salad,Credit Card,In-store,2023-01-05,5.0,5.0,25.0,0,0,0,0,1,0,0,0,0,1,0,1,0,25.0,2023-01,Thursday
TXN_1927704,Salad,Digital Wallet,In-store,2023-01-05,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,0,1,1,0,10.0,2023-01,Thursday
TXN_7180164,Sandwich,Cash,Takeaway,2023-01-05,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,0,1,20.0,2023-01,Thursday
TXN_9151321,Sandwich,Cash,In-store,2023-01-05,4.0,4.0,16.0,0,0,0,0,0,1,0,0,1,0,0,1,0,16.0,2023-01,Thursday
TXN_2340643,Salad,Cash,In-store,2023-01-05,5.0,5.0,25.0,0,0,0,0,1,0,0,0,1,0,0,1,0,25.0,2023-01,Thursday
TXN_5662517,Tea,Credit Card,Takeaway,2023-01-05,2.0,1.5,3.0,0,0,0,0,0,0,0,1,0,1,0,0,1,3.0,2023-01,Thursday
TXN_1622123,Cookie,Cash,Takeaway,2023-01-05,2.0,1.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.0,2023-01,Thursday
TXN_2372348,Cake,Digital Wallet,Takeaway,2023-01-05,2.0,3.0,6.0,1,0,0,0,0,0,0,0,0,0,1,0,1,6.0,2023-01,Thursday
TXN_6455325,Juice,Credit Card,In-store,2023-01-05,4.0,3.0,12.0,0,0,0,1,0,0,0,0,0,1,0,1,0,12.0,2023-01,Thursday
TXN_1852224,Tea,Cash,Takeaway,2023-01-06,4.0,1.5,6.0,0,0,0,0,0,0,0,1,1,0,0,0,1,6.0,2023-01,Friday
TXN_3392953,Coffee,Digital Wallet,Takeaway,2023-01-06,1.0,2.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2.0,2023-01,Friday
TXN_7770253,Coffee,Digital Wallet,Takeaway,2023-01-06,5.0,2.0,10.0,0,1,0,0,0,0,0,0,0,0,1,0,1,10.0,2023-01,Friday
TXN_8083377,Tea,Digital Wallet,In-store,2023-01-06,4.0,1.5,6.0,0,0,0,0,0,0,0,1,0,0,1,1,0,6.0,2023-01,Friday
TXN_3112013,Sandwich,Cash,In-store,2023-01-06,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,1,0,20.0,2023-01,Friday
TXN_6571385,Tea,Cash,Takeaway,2023-01-06,4.0,1.5,6.0,0,0,0,0,0,0,0,1,1,0,0,0,1,6.0,2023-01,Friday
TXN_1180969,Cookie,Digital Wallet,In-store,2023-01-06,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1.0,2023-01,Friday
TXN_2204457,Coffee,Cash,Takeaway,2023-01-06,4.0,2.0,8.0,0,1,0,0,0,0,0,0,1,0,0,0,1,8.0,2023-01,Friday
TXN_5438111,Smoothie,Cash,In-store,2023-01-06,3.0,4.0,12.0,0,0,0,0,0,0,1,0,1,0,0,1,0,12.0,2023-01,Friday
TXN_6410244,Tea,Credit Card,Takeaway,2023-01-06,4.0,1.5,6.0,0,0,0,0,0,0,0,1,0,1,0,0,1,6.0,2023-01,Friday
TXN_6000890,Coffee,Digital Wallet,In-store,2023-01-06,3.0,2.0,6.0,0,1,0,0,0,0,0,0,0,0,1,1,0,6.0,2023-01,Friday
TXN_3277379,Salad,Credit Card,Takeaway,2023-01-06,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,1,0,0,1,10.0,2023-01,Friday
TXN_4664329,Tea,Credit Card,Takeaway,2023-01-06,2.0,1.5,3.0,0,0,0,0,0,0,0,1,0,1,0,0,1,3.0,2023-01,Friday
TXN_2029497,Sandwich,Cash,Takeaway,2023-01-06,2.0,4.0,8.0,0,0,0,0,0,1,0,0,1,0,0,0,1,8.0,2023-01,Friday
TXN_1598214,Juice,Credit Card,Takeaway,2023-01-07,1.0,3.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,1,3.0,2023-01,Saturday
TXN_1090854,Cookie,Credit Card,In-store,2023-01-07,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,2023-01,Saturday
TXN_2631423,Cookie,Cash,Takeaway,2023-01-07,3.0,1.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.0,2023-01,Saturday
TXN_4064326,Cookie,Cash,Takeaway,2023-01-07,2.0,1.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.0,2023-01,Saturday
TXN_6121301,Smoothie,Digital Wallet,Takeaway,2023-01-07,5.0,4.0,20.0,0,0,0,0,0,0,1,0,0,0,1,0,1,20.0,2023-01,Saturday
TXN_8164119,Tea,Credit Card,Takeaway,2023-01-07,3.0,1.5,4.5,0,0,0,0,0,0,0,1,0,1,0,0,1,4.5,2023-01,Saturday
TXN_1072232,Sandwich,Digital Wallet,In-store,2023-01-07,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.0,2023-01,Saturday
TXN_3046567,Salad,Credit Card,In-store,2023-01-07,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.0,2023-01,Saturday
TXN_5476485,Juice,Cash,In-store,2023-01-07,2.0,3.0,6.0,0,0,0,1,0,0,0,0,1,0,0,1,0,6.0,2023-01,Saturday
TXN_1010950,Cookie,Digital Wallet,Takeaway,2023-01-07,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,2023-01,Saturday
TXN_8066306,Cake,Digital Wallet,Takeaway,2023-01-07,5.0,3.0,15.0,1,0,0,0,0,0,0,0,0,0,1,0,1,15.0,2023-01,Saturday
TXN_5622313,Salad,Credit Card,In-store,2023-01-07,2.0,5.0,10.0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.0,2023-01,Saturday
TXN_5279972,Smoothie,Credit Card,Takeaway,2023-01-07,4.0,4.0,16.0,0,0,0,0,0,0,1,0,0,1,0,0,1,16.0,2023-01,Saturday
TXN_8661276,Cookie,Digital Wallet,In-store,2023-01-07,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1.0,2023-01,Saturday
TXN_6872268,Juice,Digital Wallet,In-store,2023-01-07,2.0,3.0,6.0,0,0,0,1,0,0,0,0,0,0,1,1,0,6.0,2023-01,Saturday
TXN_9203396,Coffee,Digital Wallet,In-store,2023-01-08,5.0,2.0,10.0,0,1,0,0,0,0,0,0,0,0,1,1,0,10.0,2023-01,Sunday
TXN_5991995,Cake,Digital Wallet,In-store,2023-01-08,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,1,1,0,3.0,2023-01,Sunday
TXN_1887555,Juice,Cash,In-store,2023-01-08,2.0,3.0,6.0,0,0,0,1,0,0,0,0,1,0,0,1,0,6.0,2023-01,Sunday
TXN_3003979,Tea,Digital Wallet,Takeaway,2023-01-08,1.0,1.5,1.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1.5,2023-01,Sunday
TXN_4583009,Salad,Credit Card,In-store,2023-01-08,5.0,5.0,25.0,0,0,0,0,1,0,0,0,0,1,0,1,0,25.0,2023-01,Sunday
TXN_2680626,Cake,Cash,In-store,2023-01-08,3.0,3.0,9.0,1,0,0,0,0,0,0,0,1,0,0,1,0,9.0,2023-01,Sunday
TXN_3313000,Coffee,Credit Card,In-store,2023-01-08,5.0,2.0,10.0,0,1,0,0,0,0,0,0,0,1,0,1,0,10.0,2023-01,Sunday
TXN_9425610,Sandwich,Cash,In-store,2023-01-08,3.0,4.0,12.0,0,0,0,0,0,1,0,0,1,0,0,1,0,12.0,2023-01,Sunday
TXN_3494191,Smoothie,Credit Card,In-store,2023-01-08,2.0,4.0,8.0,0,0,0,0,0,0,1,0,0,1,0,1,0,8.0,2023-01,Sunday
TXN_9072517,Smoothie,Credit Card,Takeaway,2023-01-09,2.0,4.0,8.0,0,0,0,0,0,0,1,0,0,1,0,0,1,8.0,2023-01,Monday
TXN_7994903,Smoothie,Credit Card,In-store,2023-01-09,4.0,4.0,16.0,0,0,0,0,0,0,1,0,0,1,0,1,0,16.0,2023-01,Monday
TXN_2504703,Smoothie,Digital Wallet,Takeaway,2023-01-09,5.0,4.0,20.0,0,0,0,0,0,0,1,0,0,0,1,0,1,20.0,2023-01,Monday
TXN_9627891,Coffee,Credit Card,In-store,2023-01-09,2.0,2.0,4.0,0,1,0,0,0,0,0,0,0,1,0,1,0,4.0,2023-01,Monday
TXN_6277500,Coffee,Credit Card,Takeaway,2023-01-09,4.0,2.0,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,8.0,2023-01,Monday
TXN_2123573,Coffee,Digital Wallet,Takeaway,2023-01-09,5.0,2.0,10.0,0,1,0,0,0,0,0,0,0,0,1,0,1,10.0,2023-01,Monday
TXN_1993675,Cookie,Cash,Takeaway,2023-01-09,3.0,1.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.0,2023-01,Monday
TXN_5660949,Cookie,Credit Card,In-store,2023-01-10,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,2023-01,Tuesday
TXN_9489176,Juice,Digital Wallet,In-store,2023-01-10,5.0,3.0,15.0,0,0,0,1,0,0,0,0,0,0,1,1,0,15.0,2023-01,Tuesday
TXN_3106348,Salad,Digital Wallet,In-store,2023-01-10,4.0,5.0,20.0,0,0,0,0,1,0,0,0,0,0,1,1,0,20.0,2023-01,Tuesday
TXN_7855761,Cookie,Cash,In-store,2023-01-10,1.0,1.0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.0,2023-01,Tuesday
TXN_9710430,Sandwich,Credit Card,Takeaway,2023-01-10,3.0,4.0,12.0,0,0,0,0,0,1,0,0,0,1,0,0,1,12.0,2023-01,Tuesday
TXN_5398922,Salad,Cash,In-store,2023-01-10,1.0,5.0,5.0,0,0,0,0,1,0,0,0,1,0,0,1,0,5.0,2023-01,Tuesday
TXN_4679593,Juice,Cash,In-store,2023-01-10,1.0,3.0,3.0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.0,2023-01,Tuesday
TXN_9320353,Salad,Cash,In-store,2023-01-10,5.0,5.0,25.0,0,0,0,0,1,0,0,0,1,0,0,1,0,25.0,2023-01,Tuesday
TXN_3270584,Cake,Credit Card,Takeaway,2023-01-10,3.0,3.0,9.0,1,0,0,0,0,0,0,0,0,1,0,0,1,9.0,2023-01,Tuesday
TXN_3043982,Sandwich,Cash,In-store,2023-01-10,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,1,0,20.0,2023-01,Tuesday
TXN_3132921,Tea,Credit Card,In-store,2023-01-10,5.0,1.5,7.5,0,0,0,0,0,0,0,1,0,1,0,1,0,7.5,2023-01,Tuesday
TXN_5754317,Coffee,Credit Card,Takeaway,2023-01-10,2.0,2.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,4.0,2023-01,Tuesday
TXN_9703722,Sandwich,Digital Wallet,Takeaway,2023-01-11,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,0,1,0,1,20.0,2023-01,Wednesday
TXN_6021363,Sandwich,Credit Card,Takeaway,2023-01-11,2.0,4.0,8.0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.0,2023-01,Wednesday
TXN_6496506,Juice,Digital Wallet,In-store,2023-01-11,1.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.0,2023-01,Wednesday
TXN_1324930,Sandwich,Credit Card,Takeaway,2023-01-11,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.0,2023-01,Wednesday
TXN_9728414,Tea,Credit Card,Takeaway,2023-01-11,1.0,1.5,1.5,0,0,0,0,0,0,0,1,0,1,0,0,1,1.5,2023-01,Wednesday
TXN_8732269,Cake,Credit Card,Takeaway,2023-01-11,2.0,3.0,6.0,1,0,0,0,0,0,0,0,0,1,0,0,1,6.0,2023-01,Wednesday
TXN_4266787,Juice,Credit Card,Takeaway,2023-01-12,4.0,3.0,12.0,0,0,0,1,0,0,0,0,0,1,0,0,1,12.0,2023-01,Thursday
TXN_6926855,Sandwich,Cash,Takeaway,2023-01-12,3.0,4.0,12.0,0,0,0,0,0,1,0,0,1,0,0,0,1,12.0,2023-01,Thursday
TXN_1967032,Tea,Digital Wallet,Takeaway,2023-01-12,1.0,1.5,1.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1.5,2023-01,Thursday
TXN_4780352,Salad,Digital Wallet,Takeaway,2023-01-12,1.0,5.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,1,5.0,2023-01,Thursday
TXN_9159212,Smoothie,Digital Wallet,Takeaway,2023-01-12,3.0,4.0,12.0,0,0,0,0,0,0,1,0,0,0,1,0,1,12.0,2023-01,Thursday
TXN_6189334,Sandwich,Cash,In-store,2023-01-12,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.0,2023-01,Thursday
TXN_2503128,Cake,Cash,In-store,2023-01-12,1.0,3.0,3.0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0,2023-01,Thursday
TXN_4634772,Juice,Credit Card,In-store,2023-01-12,3.0,3.0,9.0,0,0,0,1,0,0,0,0,0,1,0,1,0,9.0,2023-01,Thursday
TXN_8710758,Sandwich,Credit Card,In-store,2023-01-12,3.0,4.0,12.0,0,0,0,0,0,1,0,0,0,1,0,1,0,12.0,2023-01,Thursday
TXN_4060215,Salad,Credit Card,In-store,2023-01-12,3.0,5.0,15.0,0,0,0,0,1,0,0,0,0,1,0,1,0,15.0,2023-01,Thursday
TXN_6018020,Cookie,Credit Card,Takeaway,2023-01-12,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,1,0,0,1,2.0,2023-01,Thursday
TXN_4877933,Juice,Digital Wallet,In-store,2023-01-12,5.0,3.0,15.0,0,0,0,1,0,0,0,0,0,0,1,1,0,15.0,2023-01,Thursday
TXN_5337074,Cookie,Credit Card,In-store,2023-01-12,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,2023-01,Thursday
TXN_4371760,Smoothie,Cash,In-store,2023-01-12,2.0,4.0,8.0,0,0,0,0,0,0,1,0,1,0,0,1,0,8.0,2023-01,Thursday
TXN_1733916,Sandwich,Digital Wallet,In-store,2023-01-12,4.0,4.0,16.0,0,0,0,0,0,1,0,0,0,0,1,1,0,16.0,2023-01,Thursday
TXN_4268746,Cake,Credit Card,In-store,2023-01-12,5.0,3.0,15.0,1,0,0,0,0,0,0,0,0,1,0,1,0,15.0,2023-01,Thursday
TXN_7735237,Cake,Digital Wallet,In-store,2023-01-13,2.0,3.0,6.0,1,0,0,0,0,0,0,0,0,0,1,1,0,6.0,2023-01,Friday
TXN_8789116,Salad,Digital Wallet,Takeaway,2023-01-13,5.0,5.0,25.0,0,0,0,0,1,0,0,0,0,0,1,0,1,25.0,2023-01,Friday
TXN_9392028,Salad,Credit Card,In-store,2023-01-13,5.0,5.0,25.0,0,0,0,0,1,0,0,0,0,1,0,1,0,25.0,2023-01,Friday
TXN_2086557,Smoothie,Cash,In-store,2023-01-13,2.0,4.0,8.0,0,0,0,0,0,0,1,0,1,0,0,1,0,8.0,2023-01,Friday
TXN_4808700,Cookie,Cash,Takeaway,2023-01-13,4.0,1.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,2023-01,Friday
TXN_9031518,Sandwich,Credit Card,In-store,2023-01-13,5.0,4.0,20.0,0,0,0,0,0,1,0,0,0,1,0,1,0,20.0,2023-01,Friday
TXN_5124080,Cookie,Credit Card,In-store,2023-01-14,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1.0,2023-01,Saturday
TXN_2806243,Salad,Digital Wallet,Takeaway,2023-01-14,4.0,5.0,20.0,0,0,0,0,1,0,0,0,0,0,1,0,1,20.0,2023-01,Saturday
TXN_3956393,Cookie,Credit Card,In-store,2023-01-14,4.0,1.0,4.0,0,0,1,0,0,0,0,0,0,1,0,1,0,4.0,2023-01,Saturday
TXN_4568452,Cookie,Digital Wallet,In-store,2023-01-14,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,0,1,1,0,3.0,2023-01,Saturday
TXN_8826983,Smoothie,Cash,In-store,2023-01-14,5.0,4.0,20.0,0,0,0,0,0,0,1,0,1,0,0,1,0,20.0,2023-01,Saturday
TXN_9992148,Tea,Cash,Takeaway,2023-01-14,3.0,1.5,4.5,0,0,0,0,0,0,0,1,1,0,0,0,1,4.5,2023-01,Saturday
TXN_3342106,Sandwich,Credit Card,In-store,2023-01-14,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,1,0,1,0,4.0,2023-01,Saturday
TXN_2980632,Cookie,Credit Card,Takeaway,2023-01-14,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,1,3.0,2023-01,Saturday
TXN_3801966,Sandwich,Digital Wallet,In-store,2023-01-14,4.0,4.0,16.0,0,0,0,0,0,1,0,0,0,0,1,1,0,16.0,2023-01,Saturday
TXN_8191202,Cookie,Digital Wallet,In-store,2023-01-14,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,1,1,0,2.0,2023-01,Saturday
TXN_9389300,Salad,Credit Card,Takeaway,2023-01-14,3.0,5.0,15.0,0,0,0,0,1,0,0,0,0,1,0,0,1,15.0,2023-01,Saturday
TXN_6020552,Sandwich,Cash,Takeaway,2023-01-14,2.0,4.0,8.0,0,0,0,0,0,1,0,0,1,0,0,0,1,8.0,2023-01,Saturday
TXN_2601689,Salad,Digital Wallet,Takeaway,2023-01-14,4.0,5.0,20.0,0,0,0,0,1,0,0,0,0,0,1,0,1,20.0,2023-01,Saturday
TXN_4541981,Smoothie,Credit Card,In-store,2023-01-14,4.0,4.0,16.0,0,0,0,0,0,0,1,0,0,1,0,1,0,16.0,2023-01,Saturday
TXN_3046108,Tea,Digital Wallet,Takeaway,2023-01-15,5.0,1.5,7.5,0,0,0,0,0,0,0,1,0,0,1,0,1,7.5,2023-01,Sunday
TXN_8553273,Juice,Cash,In-store,2023-01-15,5.0,3.0,15.0,0,0,0,1,0,0,0,0,1,0,0,1,0,15.0,2023-01,Sunday
TXN_2317041,Tea,Cash,In-store,2023-01-15,3.0,1.5,4.5,0,0,0,0,0,0,0,1,1,0,0,1,0,4.5,2023-01,Sunday
TXN_2798736,Sandwich,Digital Wallet,In-store,2023-01-15,2.0,4.0,8.0,0,0,0,0,0,1,0,0,0,0,1,1,0,8.0,2023-01,Sunday
TXN_6572164,Cookie,Credit Card,Takeaway,2023-01-15,4.0,1.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0,1,4.0,2023-01,Sunday
TXN_3800253,Cake,Cash,Takeaway,2023-01-15,2.0,3.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,6.0,2023-01,Sunday
TXN_9693344,Tea,Credit Card,Takeaway,2023-01-15,4.0,1.5,6.0,0,0,0,0,0,0,0,1,0,1,0,0,1,6.0,2023-01,Sunday
TXN_6201227,Salad,Cash,Takeaway,2023-01-15,2.0,5.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,1,10.0,2023-01,Sunday
TXN_3709394,Juice,Cash,Takeaway,2023-01-15,4.0,3.0,12.0,0,0,0,1,0,0,0,0,1,0,0,0,1,12.0,2023-01,Sunday
TXN_9880967,Cookie,Credit Card,In-store,2023-01-15,3.0,1.0,3.0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.0,2023-01,Sunday
TXN_8859144,Cake,Digital Wallet,Takeaway,2023-01-15,1.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,1,3.0,2023-01,Sunday
TXN_4090464,Sandwich,Cash,Takeaway,2023-01-16,5.0,4.0,20.0,0,0,0,0,0,1,0,0,1,0,0,0,1,20.0,2023-01,Monday
TXN_4359885,Cookie,Credit Card,In-store,2023-01-16,2.0,1.0,2.0,0,0,1,0,0,0,0,0,0,1,0,1,0,2.0,2023-01,Monday
