Grade,Subject,Standard Code,Category,Subcategory,Description
K,Lang/Arts,K.L.5,Language Standards,Vocabulary Acquisition and Use,"With guidance and support from adults, explore word relationships and nuances in word meanings."
K,Lang/Arts,K.L.5a,Language Standards,Vocabulary Acquisition and Use,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
K,Lang/Arts,K.L.5b,Language Standards,Vocabulary Acquisition and Use,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
K,Lang/Arts,K.L.5c,Language Standards,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
K,Lang/Arts,K.L.5d,Language Standards,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
K,Lang/Arts,K.L.6,Language Standards,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
K,Lang/Arts,K.RF.1,Reading Standards: Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.
K,Lang/Arts,K.RF.1a,Reading Standards: Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page."
K,Lang/Arts,K.RF.1b,Reading Standards: Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.
K,Lang/Arts,K.RF.1c,Reading Standards: Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.
K,Lang/Arts,K.RF.1d,Reading Standards: Foundational Skills,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.
K,Lang/Arts,K.RF.2,Reading Standards: Foundational Skills,Phonological Awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
K,Lang/Arts,K.RF.2a,Reading Standards: Foundational Skills,Phonological Awareness,Recognize and produce rhyming words.
K,Lang/Arts,K.RF.2b,Reading Standards: Foundational Skills,Phonological Awareness,"Count, pronounce, blend, and segment syllables in spoken words."
K,Lang/Arts,K.RF.2c,Reading Standards: Foundational Skills,Phonological Awareness,Blend and segment onsets and rimes of single-syllable spoken words.
K,Lang/Arts,K.RF.2d,Reading Standards: Foundational Skills,Phonological Awareness,"d. Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.*(This does not include CVCs ending with /l/, /r/,or /x/.)"
K,Lang/Arts,K.RF.2e,Reading Standards: Foundational Skills,Phonological Awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
K,Lang/Arts,K.RF.3,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
K,Lang/Arts,K.RF.3a,Reading Standards: Foundational Skills,Phonics and Word Recognition,Demonstrate basic knowledge of letter-sound correspondences by producing the primary or most frequent sound for each consonant.
K,Lang/Arts,K.RF.3b,Reading Standards: Foundational Skills,Phonics and Word Recognition,Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.
K,Lang/Arts,K.RF.3c,Reading Standards: Foundational Skills,Phonics and Word Recognition,"Read common high-frequency words by sight. (e.g., the, of, to, you, she, my, is, are, do, does)."
K,Lang/Arts,K.RF.3d,Reading Standards: Foundational Skills,Phonics and Word Recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
K,Lang/Arts,K.RF.4,Reading Standards: Foundational Skills,Phonics and Word Recognition,Read emergent-reader texts with purpose and understanding.
K,Lang/Arts,K.RI.1,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K,Lang/Arts,K.RI.2,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, identify the main topic and retell key details of a text."
K,Lang/Arts,K.RI.3,Reading Standards for Informational Text,Key Ideas and Details,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text."
K,Lang/Arts,K.RI.4,Reading Standards for Informational Text,Craft and Structure,"With prompting and support, ask and answer questions about unknown words in a text."
K,Lang/Arts,K.RI.5,Reading Standards for Informational Text,Craft and Structure,"Identify the front cover, back cover, and title page of a book."
K,Lang/Arts,K.RI.6,Reading Standards for Informational Text,Craft and Structure,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
K,Lang/Arts,K.RI.7,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts)."
K,Lang/Arts,K.RI.8,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, identify the reasons an author gives to support points in a text."
K,Lang/Arts,K.RI.9,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
K,Lang/Arts,K.RI.10,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
K,Lang/Arts,K.RL.1,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K,Lang/Arts,K.RL.2,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, retell familiar stories, including key details."
K,Lang/Arts,K.RL.3,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, identify characters, settings, and major events in a story."
K,Lang/Arts,K.RL.4,Reading Standards for Literature,Craft and Structure,Ask and answer questions about unknown words in a text.
K,Lang/Arts,K.RL.5,Reading Standards for Literature,Craft and Structure,"Recognize common types of texts (e.g., storybooks, poems)."
K,Lang/Arts,K.RL.6,Reading Standards for Literature,Craft and Structure,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
K,Lang/Arts,K.RL.7,Reading Standards for Literature,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
K,Lang/Arts,K.RL.9,Reading Standards for Literature,Integration of Knowledge and Ideas,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
K,Lang/Arts,K.RL.10,Reading Standards for Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
K,Lang/Arts,K.SL.1,Speaking and Listening Standards,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
K,Lang/Arts,K.SL.1a,Speaking and Listening Standards,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion)."
K,Lang/Arts,K.SL.1b,Speaking and Listening Standards,Comprehension and Collaboration,Continue a conversation through multiple exchanges.
K,Lang/Arts,K.SL.2,Speaking and Listening Standards,Comprehension and Collaboration,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
K,Lang/Arts,K.SL.3,Speaking and Listening Standards,Comprehension and Collaboration,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
K,Lang/Arts,K.SL.4,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
K,Lang/Arts,K.SL.5,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.
K,Lang/Arts,K.SL.6,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Speak audibly and express thoughts, feelings, and ideas clearly."
K,Lang/Arts,K.W.1,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is . . .)"
K,Lang/Arts,K.W.2,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
K,Lang/Arts,K.W.3,Writing Standards,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
K,Lang/Arts,K.W.5,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
K,Lang/Arts,K.W.6,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
K,Lang/Arts,K.W.7,Writing Standards,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
K,Lang/Arts,K.W.8,Writing Standards,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
8,Lang/Arts,8.L.1,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
8,Lang/Arts,8.L.1a,Language Standards,Conventions of Standard English,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences."
8,Lang/Arts,8.L.1b,Language Standards,Conventions of Standard English,Form and use verbs in the active and passive voice.
8,Lang/Arts,8.L.1c,Language Standards,Conventions of Standard English,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood."
8,Lang/Arts,8.L.1d,Language Standards,Conventions of Standard English,Recognize and correct inappropriate shifts in verb voice and mood.*
8,Lang/Arts,8.L.2,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
8,Lang/Arts,8.L.2a,Language Standards,Conventions of Standard English,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break."
8,Lang/Arts,8.L.2b,Language Standards,Conventions of Standard English,Use an ellipsis to indicate an omission.
8,Lang/Arts,8.L.2c,Language Standards,Conventions of Standard English,Spell correctly.
8,Lang/Arts,8.L.3,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
8,Lang/Arts,8.L.3a,Language Standards,Knowledge of Language,"Use verbs in the active and passive voice and in the conditional and subjunctive mood to achieve particular effects (e.g., emphasizing the actor or the action; expressing uncertainty or describing a state contrary to fact)."
8,Lang/Arts,8.L.4,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies."
8,Lang/Arts,8.L.4a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
8,Lang/Arts,8.L.4b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede)."
8,Lang/Arts,8.L.4c,Language Standards,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
8,Lang/Arts,8.L.4d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
8,Lang/Arts,8.L.5,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
8,Lang/Arts,8.L.5a,Language Standards,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g. verbal irony, puns) in context."
8,Lang/Arts,8.L.5b,Language Standards,Vocabulary Acquisition and Use,Use the relationship between particular words to better understand each of the words.
8,Lang/Arts,8.L.5c,Language Standards,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute)."
8,Lang/Arts,8.L.6,Language Standards,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
8,Lang/Arts,8.RI.1,Reading Standards for Informational Text,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
8,Lang/Arts,8.RI.2,Reading Standards for Informational Text,Key Ideas and Details,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text."
8,Lang/Arts,8.RI.3,Reading Standards for Informational Text,Key Ideas and Details,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)."
8,Lang/Arts,8.RI.4,Reading Standards for Informational Text,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8,Lang/Arts,8.RI.5,Reading Standards for Informational Text,Craft and Structure,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
8,Lang/Arts,8.RI.6,Reading Standards for Informational Text,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.
8,Lang/Arts,8.RI.7,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
8,Lang/Arts,8.RI.8,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced."
8,Lang/Arts,8.RI.9,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.
8,Lang/Arts,8.RI.10,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6–8 text complexity band independently and proficiently."
8,Lang/Arts,8.RL.1,Reading Standards for Literature,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
8,Lang/Arts,8.RL.2,Reading Standards for Literature,Key Ideas and Details,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text."
8,Lang/Arts,8.RL.3,Reading Standards for Literature,Key Ideas and Details,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision."
8,Lang/Arts,8.RL.4,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8,Lang/Arts,8.RL.5,Reading Standards for Literature,Craft and Structure,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.
8,Lang/Arts,8.RL.6,Reading Standards for Literature,Craft and Structure,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor."
8,Lang/Arts,8.RL.7,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors."
8,Lang/Arts,8.RL.9,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new."
8,Lang/Arts,8.RL.10,Reading Standards for Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6–8 text complexity band independently and proficiently."
8,Lang/Arts,8.SL.1,Speaking and Listening Standards,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
8,Lang/Arts,8.SL.1a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
8,Lang/Arts,8.SL.1b,Speaking and Listening Standards,Comprehension and Collaboration,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed."
8,Lang/Arts,8.SL.1c,Speaking and Listening Standards,Comprehension and Collaboration,"Pose questions that connect the ideas of several speakers and respond to others’ questions and comments with relevant evidence, observations, and ideas."
8,Lang/Arts,8.SL.1d,Speaking and Listening Standards,Comprehension and Collaboration,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented."
8,Lang/Arts,8.SL.2,Speaking and Listening Standards,Comprehension and Collaboration,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation."
8,Lang/Arts,8.SL.3,Speaking and Listening Standards,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced."
8,Lang/Arts,8.SL.4,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation."
8,Lang/Arts,8.SL.5,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest."
8,Lang/Arts,8.SL.6,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate. (See grade 8 Language standards 1 and 3 on page 53 for specific expectations.)"
8,Lang/Arts,8.W.1,Writing Standards,Text Types and Purposes,Write arguments to support claims with clear reasons and relevant evidence.
8,Lang/Arts,8.W.1a,Writing Standards,Text Types and Purposes,"Introduce claim(s), acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
8,Lang/Arts,8.W.1b,Writing Standards,Text Types and Purposes,"Support claim(s) with logical reasoning and relevant evidence, using accurate, credible sources and demonstrating an understanding of the topic or text."
8,Lang/Arts,8.W.1c,Writing Standards,Text Types and Purposes,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence."
8,Lang/Arts,8.W.1d,Writing Standards,Text Types and Purposes,Establish and maintain a formal style.
8,Lang/Arts,8.W.1e,Writing Standards,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.
8,Lang/Arts,8.W.2,Writing Standards,Text Types and Purposes,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content."
8,Lang/Arts,8.W.2a,Writing Standards,Text Types and Purposes,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
8,Lang/Arts,8.W.2b,Writing Standards,Text Types and Purposes,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
8,Lang/Arts,8.W.2c,Writing Standards,Text Types and Purposes,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
8,Lang/Arts,8.W.2d,Writing Standards,Text Types and Purposes,Use precise language and domain-specific vocabulary to inform about or explain the topic.
8,Lang/Arts,8.W.2e,Writing Standards,Text Types and Purposes,Establish and maintain a formal style.
8,Lang/Arts,8.W.2f,Writing Standards,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the information or explanation presented.
8,Lang/Arts,8.W.3,Writing Standards,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, relevant descriptive details, and well-structured event sequences."
8,Lang/Arts,8.W.3a,Writing Standards,Text Types and Purposes,Engage and orient the reader by establishing a context and point of view and introducing a narrator and/or characters; organize an event sequence that unfolds naturally and logically.
8,Lang/Arts,8.W.3b,Writing Standards,Text Types and Purposes,"Use narrative techniques, such as dialogue, pacing, description, and reflection, to develop experiences, events, and/or characters."
8,Lang/Arts,8.W.3c,Writing Standards,Text Types and Purposes,"Use a variety of transition words, phrases, and clauses to convey sequence, signal shifts from one time frame or setting to another, and show the relationships among experiences and events."
8,Lang/Arts,8.W.3d,Writing Standards,Text Types and Purposes,"Use precise words and phrases, relevant descriptive details, and sensory language to capture the action and convey experiences and events."
8,Lang/Arts,8.W.3e,Writing Standards,Text Types and Purposes,Provide a conclusion that follows from and reflects on the narrated experiences or events.
8,Lang/Arts,8.W.4,Writing Standards,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
8,Lang/Arts,8.W.5,Writing Standards,Production and Distribution of Writing,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grade 8 on page 53.)"
8,Lang/Arts,8.W.6,Writing Standards,Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas efficiently as well as to interact and collaborate with others."
8,Lang/Arts,8.W.7,Writing Standards,Research to Build and Present Knowledge,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration."
8,Lang/Arts,8.W.8,Writing Standards,Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation."
8,Lang/Arts,8.W.9,Writing Standards,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
8,Lang/Arts,8.W.9a,Writing Standards,Research to Build and Present Knowledge,"Apply grade 8 Reading standards to literature (e.g., “Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new”)."
8,Lang/Arts,8.W.9b,Writing Standards,Research to Build and Present Knowledge,"Apply grade 8 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced”)."
8,Lang/Arts,8.W.10,Writing Standards,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
7,Lang/Arts,7.L.1,Language Standards,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
7,Lang/Arts,7.L.1a,Language Standards,Conventions of Standard English,Explain the function of phrases and clauses in general and their function in specific sentences.
7,Lang/Arts,7.L.1b,Language Standards,Conventions of Standard English,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas."
7,Lang/Arts,7.L.1c,Language Standards,Conventions of Standard English,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers.*"
7,Lang/Arts,7.L.2,Language Standards,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
7,Lang/Arts,7.L.2a,Language Standards,Conventions of Standard English,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt)."
7,Lang/Arts,7.L.2b,Language Standards,Conventions of Standard English,Spell correctly.
7,Lang/Arts,7.L.3,Language Standards,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
7,Lang/Arts,7.L.3a,Language Standards,Knowledge of Language,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.*"
7,Lang/Arts,7.L.4,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies."
7,Lang/Arts,7.L.4a,Language Standards,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase."
7,Lang/Arts,7.L.4b,Language Standards,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel)."
7,Lang/Arts,7.L.4c,Language Standards,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech."
7,Lang/Arts,7.L.4d,Language Standards,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
7,Lang/Arts,7.L.5,Language Standards,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
7,Lang/Arts,7.L.5a,Language Standards,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., literary, biblical, and mythological allusions) in context."
7,Lang/Arts,7.L.5b,Language Standards,Vocabulary Acquisition and Use,"Use the relationship between particular words (e.g., synonym/antonym, analogy) to better understand each of the words."
7,Lang/Arts,7.L.5c,Language Standards,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., refined, respectful, polite, diplomatic, condescending)."
7,Lang/Arts,7.L.6,Language Standards,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
7,Lang/Arts,7.RI.1,Reading Standards for Informational Text,Key Ideas and Details,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
7,Lang/Arts,7.RI.2,Reading Standards for Informational Text,Key Ideas and Details,Determine two or more central ideas in a text and analyze their development over the course of the text; provide an objective summary of the text.
7,Lang/Arts,7.RI.3,Reading Standards for Informational Text,Key Ideas and Details,"Analyze the interactions between individuals, events, and ideas in a text (e.g., how ideas influence individuals or events, or how individuals influence ideas or events)."
7,Lang/Arts,7.RI.4,Reading Standards for Informational Text,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone."
7,Lang/Arts,7.RI.5,Reading Standards for Informational Text,Craft and Structure,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to the development of the ideas."
7,Lang/Arts,7.RI.6,Reading Standards for Informational Text,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how the author distinguishes his or her position from that of others.
